Address,Address (AllAddressesCombined),Bldg Name,Bldg Name (AllAddressesCombined),Bldg No.,Bldg No. (AllAddressesCombined),City,City (AllAddressesCombined),Code,Code (AllAddressesCombined),GIS Comments,State,State (AllAddressesCombined),Zip,Zip (AllAddressesCombined),eFacTS Lat DD,eFacTS Lon DD,LatDiff,Latitude,LongDiff,Longitude,Number of Records,TotalDiff
597 S Upper St,597 S Upper St,Taylor Education Bldg,Taylor Education Bldg,1,1,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04066549,-84.50730882,-0.00090051,38.041566,-0.00132182,-84.505987,1,0.00042131
110 Scott St,110 Scott St,Scott St Bldg,Scott St Bldg,2,2,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03973468,-84.5076315,0.00010068,38.039634,-0.0009145,-84.506717,1,0.00101518
111 Washington Ave,111 Washington Ave,Research Facility #1,Research Facility #1,3,3,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03557434,-84.50700717,0.00013834,38.035436,-0.00023017,-84.506777,1,0.0003685
598 S Upper St,598 S Upper St,Central Heating Plant #2,Central Heating Plant #2,4,4,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04109518,-84.50593615,-0.01353582,38.054631,-0.01872714,-84.487209,1,0.00519132
411 S Limestone,411 S Limestone,Frank D. Peterson Service Bldg,Frank D. Peterson Service Bldg,5,5,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.04070074,-84.50566644,-0.00072926,38.04143,-0.00166744,-84.503999,1,0.00093818
101 Avenue of Champions,101 Avenue of Champions,Holmes Hall,Holmes Hall,6,6,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.0416973,-84.50296588,0.0001733,38.041524,0.00086812,-84.503834,1,-0.00069482
103 Avenue of Champions,103 Avenue of Champions,Jewell Hall,Jewell Hall,7,7,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.04105201,-84.5028922,-0.00042899,38.041481,0.0008978,-84.50379,1,-0.00132679
124 Campus Dr,124 Campus Dr,Boyd Hall,Boyd Hall,8,8,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.0411774,-84.5024956,-0.0008096,38.041987,-0.0001366,-84.502359,1,-0.000673
335 South MLK Blvd,335 South MLK Blvd,Patterson Hall,Patterson Hall,9,9,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.04149173,-84.50207601,0.00013473,38.041357,-0.00110001,-84.500976,1,0.00123474
342 S Limestone,342 S Limestone,Hamilton House,Hamilton House,10,10,Lexington,Lexington,0,0,,KY,KY,40508,40508,38.04225691,-84.50220664,0.00043891,38.041818,-0.00048964,-84.501717,1,0.00092855
121 Campus Dr,121 Campus Dr,Keeneland Hall,Keeneland Hall,11,11,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.04174441,-84.50165606,-0.00026159,38.042006,0.00067594,-84.502332,1,-0.00093753
343 S Martin Luther King Blvd,343 S Martin Luther King Blvd,Blazer Hall,Blazer Hall,12,12,Lexington,Lexington,0,0,,KY,KY,40526,40526,38.04101743,-84.50185377,0.00003143,38.040986,-0.00057777,-84.501276,1,0.0006092
2500 Research Park Dr,2500 Research Park Dr,KGS Core Library,KGS Core Library,13,13,Lexington,Lexington,84,84,,KY,KY,40511,40511,38.135354,-84.510116,0.000008,38.135346,-0.000007,-84.510109,1,0.000015
500 Rose St,500 Rose St,Boone Faculty Center,Boone Faculty Center,14,14,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03521407,-84.50272851,0.00010007,38.035114,-0.00053751,-84.502191,1,0.00063758
450 Rose St,450 Rose St,Sturgill (William B.) Development Bldg,Sturgill (William B.) Development Bldg,15,15,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03657909,-84.50110094,-0.00023491,38.036814,0.00008706,-84.501188,1,-0.00032197
140 Huguelet Dr,140 Huguelet Dr,Gatehouse KY Clinic,Gatehouse KY Clinic,16,16,Lexington,Lexington,0,0,,KY,KY,40536,40536,38.03414442,-84.50695018,0.00100642,38.033138,-0.00112718,-84.505823,1,0.0021336
251 Scott St,251 Scott St,Dickey Hall,Dickey Hall,17,17,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.0407988,-84.50807485,0.0011398,38.039659,-0.00137684,-84.506698,1,0.00251664
201 Avenue of Champions,201 Avenue of Champions,Memorial Coliseum,Memorial Coliseum,19,19,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03936057,-84.5005191,-0.00020643,38.039567,0.0011869,-84.501706,1,-0.00139333
531 S Limestone,531 S Limestone,Engineering Transportation Research Garage,Engineering Transportation Research Garage,20,20,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03894589,-84.50787121,0.00051089,38.038435,-0.00072921,-84.507142,1,0.0012401
421 Rose St,421 Rose St,Old Engineers Residence,Old Engineers Residence,21,21,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03712732,-84.50119567,0.00001032,38.037117,-0.00004867,-84.501147,1,0.00005899
465 Rose St,465 Rose St,Fine Arts Guignol Bldg,Fine Arts Guignol Bldg,22,22,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03696785,-84.50205863,0.00004185,38.036926,-0.00009963,-84.501959,1,0.00014149
305 Euclid Ave,305 Euclid Ave,Police (Safety and Security),Police (Safety and Security),23,23,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03770028,-84.49932405,-0.00014372,38.037844,-0.00001005,-84.499314,1,-0.00013367
150 Patterson Dr,150 Patterson Dr,Lafferty Hall,Lafferty Hall,24,24,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03763415,-84.50330817,-0.00050785,38.038142,-0.00025017,-84.503058,1,-0.00025769
140 Patterson Dr,140 Patterson Dr,White Hall Classroom Bldg,White Hall Classroom Bldg,25,25,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03805842,-84.50385008,-0.00005458,38.038113,-0.00007107,-84.503779,1,0.00001649
180 Avenue of Champions,180 Avenue of Champions,Student Center Addition,Student Center Addition,26,26,Lexington,Lexington,0,0,,KY,KY,40506,40506,38.03945767,-84.50286199,-0.00037033,38.039828,-0.00082299,-84.502039,1,0.00045265
