Name,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Date
Tap 1,"38ø02'26.8""","084ø30'32.0""",38.040778,-84.508889,
Tap 2,"38ø02'15.7""","084ø29'57.0""",38.037694,-84.499167,
Tap 3,"38ø02'26.4""","084ø30'07.0""",38.040667,-84.501944,
Tap 4,null,null,null,null,
Tap 5,null,null,null,null,
Tap 6,"38ø02'17.5""","084ø30'07.9""",38.038194,-84.502194,
Tap 7,"38ø02'14.9""","084ø30'11.6""",38.037472,-84.503222,
Tap 8,"38ø02'17.6""","084ø30'18.2""",38.038222,-84.505056,
Tap 9,"38ø02'13.2""","084ø30'22.8""",38.037,-84.506333,
Tap 10,"38ø02'10.7""","084ø30'20.8""",38.036306,-84.505778,
Tap 11,"38ø02'05.7""","084ø30'06.2""",38.034917,-84.501722,
Tap 12,"38ø02'02.4""","084ø30'11.1""",38.034,-84.503083,
Tap 13,"38ø02'04.4""","084ø30'24.7""",38.034556,-84.506861,
Tap 14,"38ø01'59.4""","084ø30'32.7""",38.033167,-84.509083,
Tap 15,"38ø01'55.8""","084ø30'08.3""",38.032167,-84.502306,
Tap 16,"38ø01'52.0""","084ø30'13.2""",38.031111,-84.503667,
Tap 17,"38ø01'50.8""","084ø30'03.9""",38.030778,-84.501083,
Tap 18,"38ø01'43.4""","084ø30'02.1""",38.028722,-84.500583,
Tap 19,"38ø01'36.6""","084ø30'04.2""",38.026833,-84.501167,
Tap 20,"38ø01'38.1""","084ø30'11.8""",38.02725,-84.503278,
Tap 21,"38ø01'35.4""","084ø30'21.0""",38.0265,-84.505833,
Tap 22,"38ø01'31.6""","084ø30'30.4""",38.025444,-84.508444,
Tap 23,"38ø01'28.0""","084ø30'19.0""",38.024444,-84.505278,
Tap 24,"38ø01'21.7""","084ø30'26.5""",38.022694,-84.507361,
Tap 25,"38ø01'15.7""","084ø30'20.0""",38.021028,-84.505556,
Tap 26,"38ø02'01.6""","084ø30'45.1""",38.033778,-84.512528,
Tap 27,"38ø01'25.0""","084ø30'30.5""",38.023611,-84.508472,
Tap 28,"38ø01'40.8""","084ø30'01.8""",38.028,-84.5005,
