Category,Case Number,Crime Date and Time,Report Date,Incident Description,Residential Occurance,Disposition,Location,Lat V Lookup,Lon V Lookup,lat,lon
Weapons Possession,20133533,12/31/2013 - 1:27am,12/31/2013,"DRUG PARAPHERNALIA - BUY/POSSESS/M, CARRYING A CONCEALED WEAPON/M",No,Cleared By Arrest,COOPER DR & ELDEMERE RD,38.022293,-84.494428,38.022293,-84.494428
Assault,20133540,12/31/2013 - 10:20pm,12/31/2013,ASSAULT 4TH (NO VISIBLE INJURY)/M,No,Closed - Cleared By Exception,310 SOUTH LIMESTONE ST,38.042101,-84.5007,38.042101,-84.500700
Drug Violations,2013208666,12/31/2013 - 11:51pm,12/31/2013,"ASSIST METRO REF NARCOTICS DETECTION K9 - OPER MTR VEHICLE UNDER THE INFLUENCE/M, POSS OF MARIJUANA/M, DRUG PARAPHERNALIA - BUY/POSSESS/M",No,Closed - Lexington Police Report,FIREBROOK BLVD,37.993202,-84.594448,37.993202,-84.594448
Assault,CSA20130151,12/31/2013 - 6:30pm,12/31/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Drug Violations,20133526,12/30/2013 - 12:03am,12/30/2013,"DISREGARDING TRAFFIC CONTROL DEVICE, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, LICENSE TO BE IN POSSESSION/M, FAILURE TO PRODUCE INSURANCE CARD, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, POSS OF MARIJUANA/M",No,Cleared By Arrest,SOUTH LIMESTONE ST & COOPER DR,38.028101,-84.510678,38.028101,-84.510678
DUI,20133527,12/30/2013 - 2:24am,12/30/2013,"SPEEDING 11 MPH OVER LIMIT, FLEEING OR EVADING POLICE 1ST DEGREE (MOTOR VEHICLE)/F, DRIVING DUI SUSPENDED LICENSE 2ND OFF (AGG CIRCUM)/F, FLEEING OR EVADING POLICE 2ND DEGREE (ON FOOT)/M, OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 2ND/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED, RESISTING ARREST/M",No,Cleared By Arrest,SOUTH LIMESTONE ST & CONN TERR,38.030737,-84.509762,38.030737,-84.509762
Assault,CSA20130150,12/30/2013 - 12:50pm,12/30/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Drug Violations,20133518,12/29/2013 - 3:40am,12/29/2013,"DRUG PARAPHERNALIA - BUY/POSSESS/M, RECKLESS DRIVING, FAILURE TO PRODUCE INSURANCE CARD, NO REGISTRATION PLATES, INTERMEDIATE LICENSE VIOLATION",No,Citation issued,EAST MAXWELL ST & SOUTH MLK BLVD,38.042159,-84.499875,38.042159,-84.499875
Criminal Mischief,CSA20130147,12/29/2013 - 10:20am,12/29/2013,CRIMINAL MISCHIEF 3RD,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130148,12/29/2013 - 3:50pm,12/29/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Assault,CSA20130149,12/29/2013 - 6:00pm,12/29/2013,ASSAULT 4TH,No,Closed - CSA,1350 BULL LEA RD,38.084885,-84.497802,38.084885,-84.497802
Disorderly Conduct,20133504,12/28/2013 - 1:49am,12/28/2013,"DISORDERLY CONDUCT 2ND/M, POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED",No,Cleared By Arrest,NICHOLASVILLE RD & FARM RD,38.026594,-84.511209,38.026594,-84.511209
Alcohol Intoxication,20133513,12/28/2013 - 11:30pm,12/28/2013,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,740 SOUTH LIMESTONE ST,#N/A,#N/A,#N/A,#N/A
