Category,Case Number,Crime Date and Time,Report Date,Incident Description,Residential Occurance,Disposition,Location,Lat,Lon
Motor Vehicle Theft,2013-0-689,12/08/2013 - 10:00am,12/9/13,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F, TBUT OR DISP AUTO $10,000 OR MORE BUT U/$1,000,000/F, CRIMINAL MISCHIEF 1ST/F (ORIGINAL REPORT WAS CSA20130073)",No,Closed - Other Agency Report,"380 J.M. FELTNER RD, LONDON, KY",37.078954,-84.036622
All Other Offenses,20131486,05/26/2013 - 3:26am,5/26/13,FIRE INVESTIGATION,No,Open,1181 MIDWAY RD,37.205003,-88.648791
Assault,201314256,03/08/2013 - 9:27pm,3/8/13,ASSAULT,No,Closed - Referred to Another Agency,CLAY AVE,37.825492,-84.347705
Theft,20132860,09/20/2013 - 12:00am,10/15/13,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open,4321 EMMERT FARM LN,37.977654,-84.534048
Criminal Mischief,2013065790,05/01/2013 - 12:00am,5/10/13,CRIMINAL MISCHIEF,No,Closed - Lexington Police Report,4321 EMMERT FARM LN,37.977654,-84.534048
Burglary,20142865,09/01/2014 - 8:00am,10/15/14,BURGLARY 3RD/F,No,Closed,4321 EMMERT FARM LN,37.977654,-84.534048
Burglary,20142439,09/08/2014 - 1:13am,9/8/14,"Burglary 3rd/f, Criminal Mischief 1st/f, Tbut or Disp Auto-$10,000 or more but u/$1,000,000/f",No,Open,3421 Emmert Farm Ln,37.977654,-84.534048
Theft,20152069,06/26/2015 - 5:00pm,9/11/15,"TBUT OR DISP FARM EQUIP $500 OR MORE BUT U/$10,000",No,Open,4321 EMMERT FARM LN,37.977654,-84.534048
Theft,20151090,05/06/2015 - 1:30pm,5/8/15,"TBUT OR DISP FARM EQUIP $10,000 OR MORE BUT U/$1,000,000/F",No,Open,4321 EMMERT FARM LN,37.977654,-84.534048
DUI,20132905,10/20/2013 - 2:38am,10/20/13,"OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST/M, FAILURE TO ILLUMINATE HEAD LAMPS",No,Cleared By Arrest,ALUMNI DR & COMMONWEALTH DR,37.986155,-84.455144
DUI,20150267,02/01/2015 - 12:38am,2/1/15,"RECKLESS DRIVING, FLEEING OR EVADING POLICE 2ND DEGREE (MOTOR VEHICLE)/M, OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC .08 1ST OFF/M",No,Cleared By Arrest,ALUMNI DR & COMMONWEALTH DR,37.986155,-84.455144
DUI,20150071,01/09/2015 - 11:05pm,1/9/15,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC .08 (AGG CIRCUM) 1ST OFF/M,No,Cleared By Arrest,ALUMNI DR & COMMONWEALTH DR,37.986155,-84.455144
Terroristic Threatening,20131640,06/11/2013 - 8:45am,6/11/13,TERRORISTIC THREATENING 2ND/F,No,Open,2347 STERLINGTON RD,37.993064,-84.463859
Harassing Communications,2015013388,01/26/2015 - 1:00pm,1/27/15,HARASSING COMMUNICATIONS/M,No,Closed - Lexington Police Report,2347 STERLINGTON RD,37.993064,-84.463859
