Name,Latitude Decimal,Longitude Decimal,Date
Tap 1,38.040778,-84.508889,
Tap 2,38.037694,-84.499167,
Tap 3,38.040667,-84.501944,
Tap 6,38.038194,-84.502194,
Tap 7,38.037472,-84.503222,
Tap 8,38.038222,-84.505056,
Tap 9,38.037,-84.506333,
Tap 10,38.036306,-84.505778,
Tap 11,38.034917,-84.501722,
Tap 12,38.034,-84.503083,
Tap 13,38.034556,-84.506861,
Tap 14,38.033167,-84.509083,
Tap 15,38.032167,-84.502306,
Tap 16,38.031111,-84.503667,
Tap 17,38.030778,-84.501083,
Tap 18,38.028722,-84.500583,
Tap 19,38.026833,-84.501167,
Tap 20,38.02725,-84.503278,
Tap 21,38.0265,-84.505833,
Tap 22,38.025444,-84.508444,
Tap 23,38.024444,-84.505278,
Tap 24,38.022694,-84.507361,
Tap 25,38.021028,-84.505556,
Tap 26,38.033778,-84.512528,
Tap 27,38.023611,-84.508472,
Tap 28,38.028,-84.5005,
